dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,diff,total,avg_per
19_1,01-06-2021,1088,17827544,2045,18942852,1115308,36770396,52%
20_2,01-01-2023,1692,50644161,1806,53789297,3145136,104433458,52%
22_2,01-12-2021,698,30121238,762,31991198,1869960,62112436,52%
14_1,01-03-2021,3573,71235534,3810,75654410,4418876,146889944,52%
23_2,01-09-2022,2474,70521636,2675,74735751,4214115,145257387,51%
15_3,01-09-2022,1188,37148394,1234,39346836,2198442,76495230,51%
19_4,01-03-2023,208,5760075,219,6095592,335517,11855667,51%
22_1,01-04-2021,4575,119253411,5064,126183886,6930475,245437297,51%
20_4,01-03-2023,1510,54036552,1596,57171081,3134529,111207633,51%
22_2,01-07-2021,730,22337496,831,23630913,1293417,45968409,51%
22_2,01-03-2022,1247,29864010,1502,31592970,1728960,61456980,51%
21_6,01-02-2021,1179,13323411,1293,14086429,763018,27409840,51%
15_3,01-10-2022,920,27892204,955,29487573,1595369,57379777,51%
20_1,01-08-2021,2717,97171177,2884,102690146,5518969,199861323,51%
23_1,01-01-2023,4116,101341119,4337,107080647,5739528,208421766,51%
15_1,01-07-2021,25965,3702422339,28135,3912082631,209660292,7614504970,51%
20_4,01-11-2021,975,43242775,1005,45667490,2424715,88910265,51%
22_2,01-05-2022,580,23083026,603,24358891,1275865,47441917,51%
19_2,01-10-2022,875,20707701,891,21851904,1144203,42559605,51%
21_5,01-12-2022,1336,32110299,1542,33870130,1759831,65980429,51%
15_1,01-01-2022,24420,4073496212,27045,4294273078,220776866,8367769290,51%
14_5,01-06-2022,746,17119079,800,18043300,924221,35162379,51%
20_3,01-05-2022,1625,35583211,1662,37500026,1916815,73083237,51%
20_1,01-12-2021,3131,119363831,3305,125751257,6387426,245115088,51%
23_3,01-08-2022,4784,160480505,4979,169036786,8556281,329517291,51%
23_2,01-01-2023,2930,74447848,3122,78392382,3944534,152840230,51%
21_1,01-06-2021,3600,163961756,4244,172634527,8672771,336596283,51%
17_1,01-05-2022,1087,60215663,1108,63395389,3179726,123611052,51%
20_4,01-02-2022,814,38336268,891,40357221,2020953,78693489,51%
17_2,01-09-2022,5908,769381700,6284,809853521,40471821,1579235221,51%
15_2,01-01-2023,12833,1713130744,13682,1802655144,89524400,3515785888,51%
20_1,01-06-2022,2764,127262109,2920,133907941,6645832,261170050,51%
14_3,01-07-2022,2036,37936678,2185,39913424,1976746,77850102,51%
18_1,01-10-2021,4199,124524036,4368,130966758,6442722,255490794,51%
14_3,01-07-2021,2352,30641439,2470,32201673,1560234,62843112,51%
17_3,01-06-2021,2606,36753643,2941,38608750,1855107,75362393,51%
14_5,01-08-2021,603,12875545,644,13511899,636354,26387444,51%
15_3,01-12-2020,578,8169835,624,8571986,402151,16741821,51%
23_2,01-12-2022,2854,81318532,3068,85311917,3993385,166630449,51%
20_1,01-04-2021,3059,74032962,3205,77657716,3624754,151690678,51%
21_1,01-08-2022,3922,239012238,4465,250566348,11554110,489578586,51%
21_2,01-06-2021,642,11696358,694,12260434,564076,23956792,51%
21_5,01-07-2021,1445,30124782,1826,31574314,1449532,61699096,51%
16_1,01-01-2023,4899,1084721163,5351,1135867189,51146026,2220588352,51%
23_1,01-06-2021,4721,79515393,5143,83238729,3723336,162754122,51%
14_3,01-01-2023,2033,34088377,2172,35680723,1592346,69769100,51%
22_1,01-03-2022,4049,183935849,4326,192511527,8575678,376447376,51%
14_2,01-09-2022,1258,24576566,1309,25707246,1130680,50283812,51%
19_2,01-11-2021,1240,26276603,1396,27483419,1206816,53760022,51%
21_6,01-04-2021,838,10806323,934,11297914,491591,22104237,51%
21_6,01-11-2021,525,9295369,574,9714305,418936,19009674,51%
19_1,01-09-2022,961,31843177,1077,33272956,1429779,65116133,51%
23_1,01-02-2021,6963,108491776,7045,113320097,4828321,221811873,51%
17_2,01-03-2022,7009,769519359,7907,803722274,34202915,1573241633,51%
16_1,01-01-2022,6399,1441794229,7064,1505730143,63935914,2947524372,51%
15_1,01-04-2022,20482,3827108069,21615,3995805965,168697896,7822914034,51%
14_1,01-08-2022,2619,92104718,2723,96154871,4050153,188259589,51%
15_1,01-09-2022,18805,2880499154,19805,3005744029,125244875,5886243183,51%
20_3,01-12-2021,1982,36218391,1954,37787786,1569395,74006177,51%
15_2,01-03-2021,19319,1686890849,20115,1759844910,72954061,3446735759,51%
19_4,01-02-2023,262,7184545,269,7494565,310020,14679110,51%
20_3,01-11-2022,1568,37185140,1568,38783348,1598208,75968488,51%
14_1,01-03-2023,2877,91894125,3017,95840642,3946517,187734767,51%
19_1,01-07-2022,684,21754906,720,22687621,932715,44442527,51%
23_2,01-03-2021,3564,89918145,3756,93771841,3853696,183689986,51%
